V,kG
0.01,0.149
0.02,0.25
0.03,0.436
0.04,0.543
0.05,0.712
0.06,0.897
0.07,0.997
0.08,1.117
0.09,1.296
0.1,1.41
0.11,1.566
0.12,1.702
0.13,1.863
0.14,1.992
0.15,2.133
0.16,2.279
0.17,2.405
0.18,2.553
0.19,2.71
0.2,2.86
0.21,2.989
0.22,3.135
0.23,3.292
0.24,3.408
0.25,3.562
0.26,3.682
0.27,3.851
0.28,3.98
0.29,4.132
0.3,4.242
0.31,4.399
0.32,4.548
0.33,4.673
0.34,4.815
0.35,4.973
0.36,5.12
0.37,5.238
0.38,5.38
0.39,5.482
0.4,5.572
0.41,5.653
0.42,5.741
0.43,5.801
0.44,5.873
0.45,5.935
0.46,6.001
0.47,6.049
0.48,6.105
0.49,6.149
0.5,6.199
0.51,6.245
0.52,6.289
0.53,6.333
